source,block_index,audio_file,item,answer,trial_type,response_alternatives,chance_level,assessment_stage,item_id,d,prompt,orig_item_num,task,corpus_id,task_id,item_uid,randomize,time_limit,difficulty,trial_num,required_selections,image
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_12_M_ss3,tf3_12_T1_ss3_md,Matrix Reasoning,"tf3_12_T3_ss3_md,tf3_12_T2_ss3_md,tf3_12_T4_ss3_md",0.25,test_response,tf3_12_M_ss3,,Choose the best pattern to fill in the blank.,12,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat12,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_13_M_ss1,tf3_13_T1_ss1_md,Matrix Reasoning,"tf3_13_T3_ss1_md,tf3_13_T4_ss1_md,tf3_13_T2_ss1_md",0.25,test_response,tf3_13_M_ss1,,Choose the best pattern to fill in the blank.,13,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat13,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_16_M_ss1,tf3_16_T1_ss1_pd,Matrix Reasoning,"tf3_16_T3_ss1_md,tf3_16_T2_ss1_md,tf3_16_T4_ss1_md",0.25,test_response,tf3_16_M_ss1,,Choose the best pattern to fill in the blank.,16,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat16,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_72_M_ss3,tf3_72_T1_ss3_md,Matrix Reasoning,"tf3_72_T3_ss3_md,tf3_72_T4_ss3_md,tf3_72_T2_ss3_md",0.25,test_response,tf3_72_M_ss3,,Choose the best pattern to fill in the blank.,72,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat72,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_27_M_ss3,tf3_27_T1_ss3_md,Matrix Reasoning,"tf3_27_T4_ss3_md,tf3_27_T2_ss3_md,tf3_27_T3_ss3_md",0.25,test_response,tf3_27_M_ss3,,Choose the best pattern to fill in the blank.,27,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat27,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_52_M_ss1,tf3_52_T1_ss1_pd,Matrix Reasoning,"tf3_52_T4_ss1_md,tf3_52_T2_ss1_md,tf3_52_T3_ss1_md",0.25,test_response,tf3_52_M_ss1,,Choose the best pattern to fill in the blank.,52,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat52,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_77_M_ss2,tf3_77_T1_ss2_md,Matrix Reasoning,"tf3_77_T3_ss2_md,tf3_77_T2_ss2_md,tf3_77_T4_ss2_md",0.25,test_response,tf3_77_M_ss2,,Choose the best pattern to fill in the blank.,77,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat77,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_48_M_ss3,tf3_48_T1_ss3_md,Matrix Reasoning,"tf3_48_T2_ss3_md,tf3_48_T4_ss3_md,tf3_48_T3_ss3_md",0.25,test_response,tf3_48_M_ss3,,Choose the best pattern to fill in the blank.,48,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat48,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_43_M_ss1,tf3_43_T1_ss1_pd,Matrix Reasoning,"tf3_43_T2_ss1_md,tf3_43_T4_ss1_md,tf3_43_T3_ss1_md",0.25,test_response,tf3_43_M_ss1,,Choose the best pattern to fill in the blank.,43,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat43,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_36_M_ss3,tf3_36_T1_ss3_md,Matrix Reasoning,"tf3_36_T2_ss3_md,tf3_36_T4_ss3_md,tf3_36_T3_ss3_md",0.25,test_response,tf3_36_M_ss3,,Choose the best pattern to fill in the blank.,36,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat36,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_63_M_ss3,tf3_63_T1_ss3_md,Matrix Reasoning,"tf3_63_T3_ss3_md,tf3_63_T2_ss3_md,tf3_63_T4_ss3_md",0.25,test_response,tf3_63_M_ss3,,Choose the best pattern to fill in the blank.,63,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat63,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_54_M_ss3,tf3_54_T1_ss3_pd,Matrix Reasoning,"tf3_54_T2_ss3_md,tf3_54_T4_ss3_md,tf3_54_T3_ss3_md",0.25,test_response,tf3_54_M_ss3,,Choose the best pattern to fill in the blank.,54,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat54,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_18_M_ss3,tf3_18_T1_ss3_pd,Matrix Reasoning,"tf3_18_T3_ss3_md,tf3_18_T4_ss3_md,tf3_18_T2_ss3_md",0.25,test_response,tf3_18_M_ss3,,Choose the best pattern to fill in the blank.,18,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat18,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_46_M_ss1,tf3_46_T1_ss1_md,Matrix Reasoning,"tf3_46_T4_ss1_md,tf3_46_T2_ss1_md,tf3_46_T3_ss1_md",0.25,test_response,tf3_46_M_ss1,,Choose the best pattern to fill in the blank.,46,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat46,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_80_M_ss2,tf3_80_T1_ss2_md,Matrix Reasoning,"tf3_80_T3_ss2_md,tf3_80_T2_ss2_md,tf3_80_T4_ss2_md",0.25,test_response,tf3_80_M_ss2,,Choose the best pattern to fill in the blank.,80,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat80,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_33_M_ss3,tf3_33_T1_ss3_pd,Matrix Reasoning,"tf3_33_T4_ss3_md,tf3_33_T2_ss3_md,tf3_33_T3_ss3_md",0.25,test_response,tf3_33_M_ss3,,Choose the best pattern to fill in the blank.,33,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat33,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_45_M_ss3,tf3_45_T1_ss3_pd,Matrix Reasoning,"tf3_45_T4_ss3_md,tf3_45_T2_ss3_md,tf3_45_T3_ss3_md",0.25,test_response,tf3_45_M_ss3,,Choose the best pattern to fill in the blank.,45,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat45,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_51_M_ss3,tf3_51_T1_ss3_md,Matrix Reasoning,"tf3_51_T4_ss3_md,tf3_51_T2_ss3_md,tf3_51_T3_ss3_md",0.25,test_response,tf3_51_M_ss3,,Choose the best pattern to fill in the blank.,51,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat51,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_66_M_ss3,tf3_66_T1_ss3_pd,Matrix Reasoning,"tf3_66_T3_ss3_md,tf3_66_T4_ss3_md,tf3_66_T2_ss3_md",0.25,test_response,tf3_66_M_ss3,,Choose the best pattern to fill in the blank.,66,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat66,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_59_M_ss2,tf3_59_T1_ss2_pd,Matrix Reasoning,"tf3_59_T4_ss2_md,tf3_59_T2_ss2_md,tf3_59_T3_ss2_md",0.25,test_response,tf3_59_M_ss2,,Choose the best pattern to fill in the blank.,59,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat59,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_15_M_ss3,tf3_15_T1_ss3_md,Matrix Reasoning,"tf3_15_T3_ss3_md,tf3_15_T2_ss3_md,tf3_15_T4_ss3_md",0.25,test_response,tf3_15_M_ss3,,Choose the best pattern to fill in the blank.,15,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat15,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_20_M_ss2,tf3_20_T1_ss2_pd,Matrix Reasoning,"tf3_20_T4_ss2_md,tf3_20_T2_ss2_md,tf3_20_T3_ss2_md",0.25,test_response,tf3_20_M_ss2,,Choose the best pattern to fill in the blank.,20,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat20,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_17_M_ss2,tf3_17_T1_ss2_md,Matrix Reasoning,"tf3_17_T3_ss2_md,tf3_17_T4_ss2_md,tf3_17_T2_ss2_md",0.25,test_response,tf3_17_M_ss2,,Choose the best pattern to fill in the blank.,17,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat17,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_67_M_ss1,tf3_67_T1_ss1_pd,Matrix Reasoning,"tf3_67_T3_ss1_md,tf3_67_T2_ss1_md,tf3_67_T4_ss1_md",0.25,test_response,tf3_67_M_ss1,,Choose the best pattern to fill in the blank.,67,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat67,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_39_M_ss3,tf3_39_T1_ss3_md,Matrix Reasoning,"tf3_39_T2_ss3_md,tf3_39_T4_ss3_md,tf3_39_T3_ss3_md",0.25,test_response,tf3_39_M_ss3,,Choose the best pattern to fill in the blank.,39,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat39,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_79_M_ss1,tf3_79_T1_ss1_pd,Matrix Reasoning,"tf3_79_T3_ss1_md,tf3_79_T4_ss1_md,tf3_79_T2_ss1_md",0.25,test_response,tf3_79_M_ss1,,Choose the best pattern to fill in the blank.,79,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat79,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_19_M_ss1,tf3_19_T1_ss1_pd,Matrix Reasoning,"tf3_19_T3_ss1_md,tf3_19_T2_ss1_md,tf3_19_T4_ss1_md",0.25,test_response,tf3_19_M_ss1,,Choose the best pattern to fill in the blank.,19,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat19,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_53_M_ss2,tf3_53_T1_ss2_md,Matrix Reasoning,"tf3_53_T2_ss2_md,tf3_53_T4_ss2_md,tf3_53_T3_ss2_md",0.25,test_response,tf3_53_M_ss2,,Choose the best pattern to fill in the blank.,53,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat53,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_76_M_ss1,tf3_76_T1_ss1_pd,Matrix Reasoning,"tf3_76_T3_ss1_md,tf3_76_T4_ss1_md,tf3_76_T2_ss1_md",0.25,test_response,tf3_76_M_ss1,,Choose the best pattern to fill in the blank.,76,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat76,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_58_M_ss1,tf3_58_T1_ss1_md,Matrix Reasoning,"tf3_58_T2_ss1_md,tf3_58_T4_ss1_md,tf3_58_T3_ss1_md",0.25,test_response,tf3_58_M_ss1,,Choose the best pattern to fill in the blank.,58,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat58,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_56_M_ss2,tf3_56_T1_ss2_pd,Matrix Reasoning,"tf3_56_T4_ss2_md,tf3_56_T2_ss2_md,tf3_56_T3_ss2_md",0.25,test_response,tf3_56_M_ss2,,Choose the best pattern to fill in the blank.,56,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat56,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_73_M_ss1,tf3_73_T1_ss1_md,Matrix Reasoning,"tf3_73_T3_ss1_md,tf3_73_T2_ss1_md,tf3_73_T4_ss1_md",0.25,test_response,tf3_73_M_ss1,,Choose the best pattern to fill in the blank.,73,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat73,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_78_M_ss3,tf3_78_T1_ss3_pd,Matrix Reasoning,"tf3_78_T3_ss3_md,tf3_78_T2_ss3_md,tf3_78_T4_ss3_md",0.25,test_response,tf3_78_M_ss3,,Choose the best pattern to fill in the blank.,78,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat78,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_69_M_ss3,tf3_69_T1_ss3_pd,Matrix Reasoning,"tf3_69_T3_ss3_md,tf3_69_T4_ss3_md,tf3_69_T2_ss3_md",0.25,test_response,tf3_69_M_ss3,,Choose the best pattern to fill in the blank.,69,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat69,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_55_M_ss1,tf3_55_T1_ss1_pd,Matrix Reasoning,"tf3_55_T4_ss1_md,tf3_55_T2_ss1_md,tf3_55_T3_ss1_md",0.25,test_response,tf3_55_M_ss1,,Choose the best pattern to fill in the blank.,55,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat55,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_37_M_ss1,tf3_37_T1_ss1_md,Matrix Reasoning,"tf3_37_T4_ss1_md,tf3_37_T2_ss1_md,tf3_37_T3_ss1_md",0.25,test_response,tf3_37_M_ss1,,Choose the best pattern to fill in the blank.,37,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat37,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_47_M_ss2,tf3_47_T1_ss2_pd,Matrix Reasoning,"tf3_47_T2_ss2_md,tf3_47_T4_ss2_md,tf3_47_T3_ss2_md",0.25,test_response,tf3_47_M_ss2,,Choose the best pattern to fill in the blank.,47,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat47,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_42_M_ss3,tf3_42_T1_ss3_pd,Matrix Reasoning,"tf3_42_T4_ss3_md,tf3_42_T2_ss3_md,tf3_42_T3_ss3_md",0.25,test_response,tf3_42_M_ss3,,Choose the best pattern to fill in the blank.,42,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat42,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_75_M_ss3,tf3_75_T1_ss3_md,Matrix Reasoning,"tf3_75_T3_ss3_md,tf3_75_T4_ss3_md,tf3_75_T2_ss3_md",0.25,test_response,tf3_75_M_ss3,,Choose the best pattern to fill in the blank.,75,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat75,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_49_M_ss1,tf3_49_T1_ss1_md,Matrix Reasoning,"tf3_49_T4_ss1_md,tf3_49_T2_ss1_md,tf3_49_T3_ss1_md",0.25,test_response,tf3_49_M_ss1,,Choose the best pattern to fill in the blank.,49,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat49,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_62_M_ss2,tf3_62_T1_ss2_md,Matrix Reasoning,"tf3_62_T3_ss2_md,tf3_62_T2_ss2_md,tf3_62_T4_ss2_md",0.25,test_response,tf3_62_M_ss2,,Choose the best pattern to fill in the blank.,62,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat62,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_25_M_ss1,tf3_25_T1_ss1_md,Matrix Reasoning,"tf3_25_T4_ss1_md,tf3_25_T2_ss1_md,tf3_25_T3_ss1_md",0.25,test_response,tf3_25_M_ss1,,Choose the best pattern to fill in the blank.,25,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat25,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_70_M_ss1,tf3_70_T1_ss1_md,Matrix Reasoning,"tf3_70_T3_ss1_md,tf3_70_T4_ss1_md,tf3_70_T2_ss1_md",0.25,test_response,tf3_70_M_ss1,,Choose the best pattern to fill in the blank.,70,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat70,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_28_M_ss1,tf3_28_T1_ss1_pd,Matrix Reasoning,"tf3_28_T2_ss1_md,tf3_28_T4_ss1_md,tf3_28_T3_ss1_md",0.25,test_response,tf3_28_M_ss1,,Choose the best pattern to fill in the blank.,28,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat28,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_61_M_ss1,tf3_61_T1_ss1_md,Matrix Reasoning,"tf3_61_T3_ss1_md,tf3_61_T2_ss1_md,tf3_61_T4_ss1_md",0.25,test_response,tf3_61_M_ss1,,Choose the best pattern to fill in the blank.,61,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat61,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_26_M_ss2,tf3_26_T1_ss2_md,Matrix Reasoning,"tf3_26_T4_ss2_md,tf3_26_T2_ss2_md,tf3_26_T3_ss2_md",0.25,test_response,tf3_26_M_ss2,,Choose the best pattern to fill in the blank.,26,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat26,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_11_M_ss2,tf3_11_T1_ss2_pd,Matrix Reasoning,"tf3_11_T3_ss2_md,tf3_11_T4_ss2_md,tf3_11_T2_ss2_md",0.25,test_response,tf3_11_M_ss2,,Choose the best pattern to fill in the blank.,11,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat11,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_34_M_ss1,tf3_34_T1_ss1_md,Matrix Reasoning,"tf3_34_T2_ss1_md,tf3_34_T4_ss1_md,tf3_34_T3_ss1_md",0.25,test_response,tf3_34_M_ss1,,Choose the best pattern to fill in the blank.,34,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat34,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_44_M_ss2,tf3_44_T1_ss2_pd,Matrix Reasoning,"tf3_44_T4_ss2_md,tf3_44_T2_ss2_md,tf3_44_T3_ss2_md",0.25,test_response,tf3_44_M_ss2,,Choose the best pattern to fill in the blank.,44,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat44,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_14_M_ss2,tf3_14_T1_ss2_md,Matrix Reasoning,"tf3_14_T3_ss2_md,tf3_14_T2_ss2_md,tf3_14_T4_ss2_md",0.25,test_response,tf3_14_M_ss2,,Choose the best pattern to fill in the blank.,14,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat14,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_23_M_ss2,tf3_23_T1_ss2_pd,Matrix Reasoning,"tf3_23_T2_ss2_md,tf3_23_T4_ss2_md,tf3_23_T3_ss2_md",0.25,test_response,tf3_23_M_ss2,,Choose the best pattern to fill in the blank.,23,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat23,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_64_M_ss1,tf3_64_T1_ss1_pd,Matrix Reasoning,"tf3_64_T3_ss1_md,tf3_64_T4_ss1_md,tf3_64_T2_ss1_md",0.25,test_response,tf3_64_M_ss1,,Choose the best pattern to fill in the blank.,64,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat64,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_41_M_ss2,tf3_41_T1_ss2_md,Matrix Reasoning,"tf3_41_T2_ss2_md,tf3_41_T4_ss2_md,tf3_41_T3_ss2_md",0.25,test_response,tf3_41_M_ss2,,Choose the best pattern to fill in the blank.,41,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat41,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_31_M_ss1,tf3_31_T1_ss1_pd,Matrix Reasoning,"tf3_31_T4_ss1_md,tf3_31_T2_ss1_md,tf3_31_T3_ss1_md",0.25,test_response,tf3_31_M_ss1,,Choose the best pattern to fill in the blank.,31,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_pd_mat31,,,,,,
MarsIB-itemset2-tf3,1,matrix-reasoning-prompt1,tf3_50_M_ss2,tf3_50_T1_ss2_md,Matrix Reasoning,"tf3_50_T4_ss2_md,tf3_50_T2_ss2_md,tf3_50_T3_ss2_md",0.25,test_response,tf3_50_M_ss2,,Choose the best pattern to fill in the blank.,50,Matrix Reasoning,matrix-reasoning-Mars-IB-retest,matrix-reasoning,matrix_set3_md_mat50,,,,,,
