source,block_index,audio_file,item,answer,trial_type,response_alternatives,chance_level,assessment_stage,item_id,d,prompt,orig_item_num,task,corpus_id,task_id,item_uid,randomize,time_limit,difficulty,trial_num,required_selections,image
HRS2010,3,missing-number-prompt2,"1, 3, 9, _",27,Missing Number,"12,18,13",0.25,test_response,MD203-I2,1.079,What number goes here?,9,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_1_3_9_x,,,,,,
HRS2010,4,missing-number-prompt2,"10, _, 3, 1",6,Missing Number,"7,4,5",0.25,test_response,MD210-J1,0.427,What number goes here?,10,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_10_x_3_1,,,,,,
HRS2010,4,missing-number-prompt2,"13, 15, 19, _",27,Missing Number,"28,35,24",0.25,test_response,MD210-J2,0.427,What number goes here?,10,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_13_15_19_x,,,,,,
HRS2010,4,missing-number-prompt2,"18, 17, 15, _, 8",12,Missing Number,"13,9,11",0.25,test_response,MD211-K1,0.565,What number goes here?,11,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_18_17_15_x_8,,,,,,
HRS2010,4,missing-number-prompt2,"18, 17, _, 12, 8",15,Missing Number,"16,13,14",0.25,test_response,MD211-K2,0.565,What number goes here?,11,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_18_17_x_12_8,,,,,,
HRS2010,4,missing-number-prompt2,"17, 16, 14, 10, _",3,Missing Number,"7,1,5",0.25,test_response,MD212-L1,0.843,What number goes here?,12,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_17_16_14_19_x,,,,,,
HRS2010,4,missing-number-prompt3,"3, 3, 4, 6, 6, 7, _, _",9;9,Missing Number,"9;10,8;9,10;10",0.25,test_response,MD212-L2,0.843,What numbers go in the blanks?,12,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_3_3_4_6_6_7_x,,,,,,
HRS2010,5,missing-number-prompt2,"_, 20, 26, 38, 62",17,Missing Number,"18,15,12",0.25,test_response,MD213-M1,1.22,What number goes here?,13,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_20_26_38_62,,,,,,
HRS2010,5,missing-number-prompt2,"6, _, 15, 27, 51",9,Missing Number,"8,11,13",0.25,test_response,MD213-M2,1.22,What number goes here?,13,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_6_x_15_27_51,,,,,,
HRS2010,5,missing-number-prompt2,"5, _, 11, 19, 35",7,Missing Number,"9,6,8",0.25,test_response,MD214-N1,1.269,What number goes here?,14,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_5_x_11_19_35,,,,,,
HRS2010,5,missing-number-prompt2,"_, 18, 24, 36, 60",15,Missing Number,"12,13,14",0.25,test_response,MD214-N2,1.269,What number goes here?,14,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_18_24_36_60,,,,,,
HRS2010,5,missing-number-prompt3,"70, _, _, 84",72;76,Missing Number,"72;78,78;80,74;78",0.25,test_response,MD215-O1,1.954,What numbers go in the blanks?,15,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_70_x_y_84,,,,,,
HRS2010,5,missing-number-prompt2,"60, 33, 24, 21, _",20,Missing Number,"12,17,18",0.25,test_response,MD215-O2,1.954,What number goes here?,15,adult-reasoning,adult-reasoning,adult-reasoning,ar_reason_60_33_24_21_x,,,,,,
